EL,ER,RL,RR,sum,class
0.820890278,0.682198983,0.099084388,0.07530623,1.67747988,OH
3.707952206,3.056798981,0.20380169,0.343943312,7.312496189,OH
3.03364464,0.942703093,0.077887079,0.092688999,4.14692381,OH
0.585816967,2.01532507,0.042611353,0.118481995,2.762235385,OH
1.194118365,1.663901636,0.203219234,0.2509773,3.312216535,OH
0.795045792,1.102769536,0.049438363,0.088563171,2.035816862,OH
0.527577078,0.850920872,0.07562822,0.048144109,1.502270279,OH
4.667394846,2.209752685,0.081554371,0.103841398,7.062543299,OH
1.464595091,1.128687708,0.121184731,0.202418521,2.916886051,OH
0.479108703,0.2240731,0.29553073,0.110410452,1.109122985,OH
2.058153896,1.30198748,0.097392481,0.114525053,3.572058911,OH
2.403168731,3.2332633,0.18580477,0.433161124,6.255397926,OH
0.535401574,0.913903509,0.097384044,0.08922959,1.635918718,OH
5.440448988,1.361376608,0.061624423,0.091108279,6.954558298,OH
2.275044198,2.849920543,0.082213015,0.212171168,5.419348924,OH
1.346661946,8.156052114,0.294566025,0.341902596,10.13918268,OH
4.473411232,0.976797069,0.069447338,0.07924455,5.598900188,OH
2.736866727,2.99631206,0.22390885,0.19240497,6.149492608,OH
1.093502066,2.157666164,0.125724012,0.112435561,3.489327803,OH
1.995006874,4.69330283,0.581214681,0.14120214,7.410726524,PD
253.4430521,12.30498541,1.164080156,2.971544192,269.8836619,PD
2.37669611,0.418920247,0.168702254,1.371251273,4.335569883,PD
3.514222103,12.07307045,0.493307506,0.204671146,16.2852712,PD
1.119585907,63.49709288,0.558759068,57.01041812,122.185856,PD
6.607580678,7.332472729,4.748207219,0.556570988,19.24483161,PD
0.850273922,0.745047634,10.62317548,0.241064605,12.45956164,PD
5.335798379,3.917714478,0.11625502,0.150505953,9.52027383,PD
8.355403704,270.5629314,0.925850203,0.866930071,280.7111153,PD
11.20571869,3.940392504,10.95148087,0.882944875,26.98053693,PD
370.8005334,37.01978542,0.122398945,13.05711589,420.9998336,PD
16.41273633,2.68279252,0.450252326,0.242607545,19.78838872,PD
30.9933686,1.847616489,0.176267143,0.127095953,33.14434818,PD
10.86820021,2.453073478,4.100440473,0.638638897,18.06035306,PD
11.89917451,11.4667619,0.311314338,0.668828017,24.34607876,PD
948.4501451,234.9240986,0.205785382,14.69933373,1198.279363,PD
1.523125913,0.462304666,0.119855065,0.223147726,2.32843337,PD
30.28277095,0.823869218,15.23806915,0.614299777,46.9590091,PD
1.354087283,1.485707362,0.425833104,0.418938947,3.684566695,PD
0.998607841,16.2588351,0.185652822,0.419755531,17.86285129,PD
0.921560755,1.324806595,0.474614157,0.367553461,3.088534968,PD
27.00121492,1.700175891,0.337808635,0.143186184,29.18238563,PD
2.635502592,0.527597064,0.335957091,0.079098256,3.578155003,PD
2.69689015,1.79041364,0.154925757,0.642430665,5.284660211,PD
1.045645034,535.3281707,0.420460425,2.114215496,538.9084917,PD
15.50774543,56.23346243,0.264811932,1.748301984,73.75432178,PD
2.238238304,3.372403679,0.185513427,0.107846679,5.904002089,PD
