EL1,EL2,EL3,EL4,EL5,EL6,EL7,EL8,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,RL1,RL2,RL3,RL4,RL5,RL6,RL7,RL8,RR1,RR2,RR3,RR4,RR5,RR6,RR7,RR8,class
1.406286913,0.710652276,0.523670477,0.202446326,0.048016944,0.046756531,0.006465933,0.000437838,0.998748697,0.924380311,0.443063161,0.169393964,0.050449842,0.019292017,0.038755586,0.004138485,0.060345541,0.066290688,0.057863173,0.01164414,0.015137015,0.01444006,0.01912272,0.004972952,0.049955265,0.065862265,0.033356573,0.012140785,0.015225801,0.01458307,0.007467527,0.012884825,OH
3.764360827,3.579045233,2.607040855,0.797558613,0.215877225,0.087475513,0.110124958,0.042189529,5.997139706,2.778372882,1.96340738,0.489968773,0.351717779,0.251705049,0.066086865,0.026809859,0.217538452,0.218554782,0.07692964,0.028211197,0.063219293,0.035441559,0.024328909,0.051511898,0.473403649,0.436733493,0.199408159,0.088060989,0.044298517,0.012175647,0.008181092,0.023969228,OH
3.546985533,3.049787099,1.235007399,0.566775184,0.543424237,0.68843782,0.423667074,0.359531224,1.815937314,0.83933535,0.631460605,0.175354193,0.099729595,0.0361587,0.025779221,0.04789864,0.089894217,0.09499181,0.043582245,0.014058502,0.006339206,0.013907125,0.002948551,0.002024658,0.052845892,0.06660111,0.039084638,0.009531972,0.029353307,0.014719082,0.019638438,0.021767398,OH
0.875368404,0.636659895,0.329990443,0.114207991,0.112283573,0.02933496,0.037376985,0.069572778,2.217037937,1.619737899,1.463060755,0.206211372,0.224776619,0.121276323,0.048170443,0.062417577,0.051103654,0.045320999,0.028909673,0.005927342,0.00521267,0.002561667,0.00075169,7.93E-05,0.156503961,0.134640785,0.071455145,0.019356456,0.020695464,0.006974929,0.00256695,0.015627011,OH
1.629760715,1.15708083,0.721314671,0.235532334,0.119796694,0.117474667,0.132050939,0.136194368,3.543769584,1.586253692,1.025649749,0.300785916,0.17785323,0.15961274,0.076829077,0.061284148,0.198239094,0.209599386,0.128967259,0.036462541,0.014016018,0.023773416,0.005373822,0.000200691,0.232113598,0.275395454,0.107162016,0.052769047,0.056045639,0.035000598,0.015383222,0.027661778,OH
1.0015334,0.864550521,0.434732347,0.113801326,0.152504312,0.094007808,0.06478308,0.102213002,2.491524306,1.647037893,0.609658288,0.210640185,0.23068334,0.051787723,0.038354202,0,0.045902847,0.038458914,0.033186883,0.005469174,0.00886891,0.001913396,0.003821554,0.001609954,0.094353763,0.088108043,0.04954733,0.011107326,0.024337159,0.003571355,0.007038892,0.009729212,OH
0.884570265,0.531132106,0.364349533,0.062002594,0.071787552,0.0294374,0.022124838,0.015428526,1.274804602,0.690344174,0.491468945,0.224114466,0.092625768,0.042711692,0.018699259,0.036425202,0.07529158,0.07358649,0.05650422,0.011861296,0.005702863,0.00155984,0.000425539,0.000462334,0.052365586,0.05551202,0.032568256,0.009493769,0.002974076,0.003108009,0.000287909,0.000984351,OH
13.91502104,6.2867705,3.256037086,0.683375478,0.573874071,0.154108211,0.113699848,0.026603649,2.980756348,1.539804822,1.562761596,0.399797283,0.21134532,0.035848486,0.049180331,0.078744501,0.105804806,0.091773608,0.0435612,0.011642441,0.018722576,0.007628154,0.00847201,0.013263646,0.124774523,0.09568092,0.058159471,0.026639549,0.014164533,0.004877845,0.001504901,0.000180028,OH
3.331850692,1.294909315,0.896650032,0.26105515,0.253329844,0.053560065,0.078970013,0.001919692,2.677346089,1.292252883,0.603017703,0.302632046,0.126309256,0.096728703,0.011085294,0.011982108,0.150116622,0.141875054,0.07013092,0.020896878,0.012558667,0.017598266,0.007580656,0.00278449,0.249832724,0.144776071,0.126351105,0.042921621,0.019784054,0.01336174,0.002471325,0.001377773,OH
0.575311845,0.383563109,0.303700652,0.103414483,0.042212044,0.029781525,0.017993584,0.002708683,0.259341788,0.232097776,0.157581266,0.034002577,0.023751324,0.008737933,0.0099515,0.000951741,0.382296247,0.418217829,0.190406097,0.051883513,0.038404484,0.014836637,0.009495895,0.003660994,0.149368018,0.12631693,0.06363713,0.023190968,0.015083454,0.0084989,0.002860866,0.005358925,OH
